Dezernat,Amt / Dienststelle,Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle Bezeichnung,Ergebnis 2021 (Erträge),Ergebnis 2021 (Aufwendungen),Ergebnis 2021 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2022 (Erträge),Ansatz 2022 (Aufwendungen),Ansatz 2022 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2023 (Erträge),Ansatz 2023 (Aufwendungen),Ansatz 2023 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2024 (Erträge),Ansatz 2024 (Aufwendungen),Ansatz 2024 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)
"DEZ-I  ",AMT-000,111001,"Steuerung                                                                                           ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","000 Gemeinderat                                                                                     ","150176,1","-2270910,5","-2120734,4",90210,-2208684,-2118474,90210,-2242834,-2152624,90210,-2307204,-2216994
"DEZ-I  ",AMT-001,111001,"Steuerung                                                                                           ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","001 Bürgermeisteramt                                                                                ","64323,8","-1475292,3","-1410968,5",60090,"-1119138,8","-1059048,8",60090,"-1153165,1","-1093075,1",60090,"-1176384,5","-1116294,5"
"DEZ-II ",AMT-002,111001,"Steuerung/Geschäftsf.GR und Ausschüsse                                                              ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat II BMin Buchheit                                                                           ",THH_06,"THH 6 Management Dezernat II                                                                        ","002 Büro der BMin Buchheit                                                                          ","8621,6","-623858,3","-615236,8",7860,"-592919,6","-585059,6",7860,"-544493,1","-536633,1",7860,-559396,-551536
DEZ-III,AMT-003,111001,"Steuerung/Geschäftsf.GR und Ausschüsse                                                              ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat III EBM von Kirchbach                                                                      ",THH_11,"THH 11 Management Dezernat III                                                                      ","003 Büro des EBMs von Kirchbach                                                                     ",44679,"-760219,8","-715540,9",36000,-615040,-579040,36000,-711046,-675046,36000,-752907,-716907
"DEZ-IV ",AMT-004,111001,"Steuerung/Geschäftsf.GR und Ausschüsse                                                              ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_15,"THH 15 Managemnt Dezernat IV                                                                        ","004 Büro des BMs Breiter                                                                            ","13319,7","-725680,6","-712360,9",14980,"-609697,2","-594717,2",14980,"-635231,7","-620251,7",14980,"-649590,3","-634610,3"
"DEZ-V  ",AMT-005,111001,"Steuerung/Geschäftsf.GR und Ausschüsse                                                              ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_23,"THH 23 Management Dezernat V                                                                        ","005 Büro des BMs Prof Dr. Haag                                                                      ",0,-761042,-761042,158270,-1346909,-1188639,68500,"-1233919,6","-1165419,6",11200,"-1259103,7","-1247903,7"
"DEZ-I  ",AMT-110,111001,"Steuerung                                                                                           ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ","250679,5",-3654086,"-3403406,5","834165,6","-3636631,7","-2802466,1","1115432,5","-3996481,7","-2881049,2","1094455,4","-4011471,5","-2917016,1"
"DEZ-I  ",AMT-151,111001,"Ortsvorsteher/Ortschaftsrat/Repräsentat.                                                            ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,-117863,-117863,0,-117434,-117434,0,"-94446,6","-94446,6",0,"-97045,6","-97045,6"
"DEZ-I  ",AMT-152,111001,"Ortsvorsteher/Ortschaftsrat/Repräsentat.                                                            ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ","409,7","-67457,8","-67048,1","367,2","-63108,8","-62741,6","367,2","-70262,8","-69895,6","367,2","-71121,9","-70754,7"
"DEZ-I  ",AMT-153,111001,"Ortsvorsteher/Ortschaftsrat/Repräsentat.                                                            ",1110,"Steuerung                                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ","6,4","-58333,6","-58327,2","6,4",-66720,"-66713,6","0,7","-66976,1","-66975,4",0,"-67471,3","-67471,3"
