Dezernat,Amt / Dienststelle,Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle Bezeichnung,Ansatz 2025 (Erträge),Ansatz 2025 (Aufwendungen),Ansatz 2025 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2026 (Erträge),Ansatz 2026 (Aufwendungen),Ansatz 2026 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)
DEZ-I  ,AMT-000,111001,Steuerung                                                                                           ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",000 Gemeinderat                                                                                     ,90210.00 €,-2345074.00 €,-2254864.00 €,90210.00 €,"-2377415,3","-2287205,3"
DEZ-I  ,AMT-001,111001,Steuerung                                                                                           ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",001 B?rgermeisteramt                                                                                ,60090.00 €,"-1243208,2","-1183118,2",60090.00 €,-1289593.00 €,-1229503.00 €
DEZ-I  ,AMT-151,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",151 Ortsverw. Lehen                                                                                 ,0.00 €,"-59472,3","-59472,3",0.00 €,"-63305,6","-63305,6"
DEZ-I  ,AMT-152,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",152 Ortsverw. Opfingen                                                                              ,367.20 €,"-77047,7","-76680,5","367,2","-73110,9","-72743,7"
DEZ-I  ,AMT-153,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",153 Ortsverw. Waltershofen                                                                          ,0.00 €,"-73307,5","-73307,5",0.00 €,"-71736,8","-71736,8"
DEZ-I  ,AMT-154,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",154 Ortsverw. Tiengen                                                                               ,0.00 €,"-36212,7","-36212,7",0.00 €,"-33681,3","-33681,3"
DEZ-I  ,AMT-155,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",155 Ortsverw. Munzingen                                                                             ,0.00 €,"-28800,1","-28800,1",0.00 €,-26341.00 €,-26341.00 €
DEZ-I  ,AMT-156,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",156 Ortsverw. Hochdorf                                                                              ,0.00 €,"-91830,9","-91830,9",0.00 €,"-88966,4","-88966,4"
DEZ-I  ,AMT-157,111001,Steuerung                                                                                           ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",157 Ortsverw. Ebnet                                                                                 ,61.50 €,"-95779,5",-95718.00 €,"61,4","-94089,4",-94028.00 €
DEZ-I  ,AMT-158,111001,Ortsvorsteher/Ortschaftsrat/Repr?sentat.                                                            ,1110,Steuerung                                                                                           ,11,Innere Verwaltung                                                                                   ,Dezernat I OB Horn                                                                                  ,THH_01,"THH 1 Gemeinderat, B?rgermeisteramt, OVs                                                            ",158 Ortsverw. Kappel                                                                                ,480.40 €,"-108811,1","-108330,7","480,4","-107749,8","-107269,4"
